Which Artist/Band Recorded Smells Like Teen Spirit?,Nirvana
Which Artist/Band Recorded One?,U2
Which Artist/Band Recorded I Want It That Way?,Backstreet Boys
Which Artist/Band Recorded I Will Always Love You?,Whitney houston
Which Artist/Band Recorded Vogue?,madonna
Which Artist/Band Recorded Baby Got Back?,sir mix a lot
Which Artist/Band Recorded Baby One More Time?,britney spears
Which Artist/Band Recorded Waterfalls?,tlc
Which Artist/Band Recorded Losing My Religion?,rem
Which Artist/Band Recorded Jeremy?,pearl jam
